fips,2019_units,2020_Units ,Yr_Grwth,Percent_Growth
27085,213,183,-30,-0.14084507
27095,227,141,-86,-0.378854626
27099,21,222,201,9.571428571
27105,54,69,15,0.277777778
27109,4573,6953,2380,0.520446097
27117,18,17,-1,-0.055555556
27123,49955,60927,10972,0.219637674
27131,2143,3178,1035,0.482967802
27137,2308,3542,1234,0.534662045
27139,3984,5330,1346,0.337851406
27141,2267,2741,474,0.209086899
27145,2432,2245,-187,-0.076891447
27147,291,395,104,0.357388316
27163,19530,24340,4810,0.246287762
27169,469,946,477,1.017057569
27171,3766,5561,1795,0.476633032
28003,318,560,242,0.761006289
28033,2755,4121,1366,0.495825771
28047,789,1144,355,0.449936629
28049,2995,4062,1067,0.356260434
28071,2002,1534,-468,-0.233766234
28081,1346,1907,561,0.41679049
28087,920,1171,251,0.272826087
28089,4378,5785,1407,0.321379625
28105,1250,1823,573,0.4584
28121,1640,3327,1687,1.028658537
28149,647,866,219,0.338485317
29019,8926,12530,3604,0.403764284
29021,576,772,196,0.340277778
29029,1353,1719,366,0.270509978
29031,846,1117,271,0.320330969
29037,2109,2918,809,0.38359412
29043,322,438,116,0.360248447
29047,9557,12235,2678,0.280213456
29051,1559,2295,736,0.472097498
29071,932,1359,427,0.458154506
29077,3520,4439,919,0.261079545
29095,26124,33160,7036,0.269330883
29097,746,1026,280,0.375335121
29099,1714,2752,1038,0.605600933
29101,365,287,-78,-0.21369863
29165,3320,4376,1056,0.318072289
29169,650,656,6,0.009230769
29183,11499,13744,2245,0.195234368
29187,244,344,100,0.409836066
29189,65582,86921,21339,0.325378915
29213,677,856,179,0.264401773
29219,115,186,71,0.617391304
30001,1038,929,-109,-0.105009634
30013,4504,6591,2087,0.463365897
30017,256,266,10,0.0390625
30021,263,210,-53,-0.201520913
30023,417,557,140,0.335731415
30027,484,110,-374,-0.772727273
30029,15564,19871,4307,0.276728347
30031,19565,26105,6540,0.334270381
30041,227,60,-167,-0.735682819
30047,1776,2761,985,0.554617117
30049,7839,10307,2468,0.314836076
30063,12611,15057,2446,0.193957656
30067,2527,3174,647,0.256034824
30071,28,62,34,1.214285714
30077,174,243,69,0.396551724
30081,3856,4378,522,0.135373444
30093,2359,2796,437,0.185247986
30105,82,18,-64,-0.780487805
30111,9210,11760,2550,0.276872964
31001,70,73,3,0.042857143
31013,309,375,66,0.213592233
31019,1021,1269,248,0.242899119
31025,98,133,35,0.357142857
31033,56,238,182,3.25
31045,112,489,377,3.366071429
31053,341,500,159,0.46627566
31055,15837,23707,7870,0.496937551
31067,42,33,-9,-0.214285714
31079,509,609,100,0.196463654
31101,12,111,99,8.25
31109,6737,11224,4487,0.666023453
31119,427,487,60,0.140515222
31141,63,125,62,0.984126984
31153,3832,6147,2315,0.604123173
31157,891,1520,629,0.705948373
31177,121,113,-8,-0.066115702
32001,2105,2698,593,0.281710214
32003,124325,162084,37759,0.303712045
32005,18570,21054,2484,0.133764136
32007,538,546,8,0.014869888
32019,4459,5444,985,0.220901547
32021,144,446,302,2.097222222
32023,2837,3447,610,0.215015862
32027,171,267,96,0.561403509
32031,109179,120262,11083,0.101512196
32510,11328,14003,2675,0.236140537
33001,11072,10880,-192,-0.01734104
33003,4673,5359,686,0.14680077
33005,17432,21970,4538,0.260325838
33009,34091,43257,9166,0.268868616
33011,70609,86056,15447,0.218768146
33013,37494,45561,8067,0.215154425
33015,85478,91540,6062,0.070918833
33017,27562,31085,3523,0.127820913
33019,5063,5969,906,0.178945289
34001,9196,11835,2639,0.286972597
34003,54877,76534,21657,0.394646209
34005,19223,22706,3483,0.1811892
34007,21763,23508,1745,0.08018196
34009,11753,13129,1376,0.117076491
34011,1067,1400,333,0.312089972
34013,31122,47207,16085,0.516836964
34015,7556,7207,-349,-0.04618846
34017,24956,34904,9948,0.398621574
34019,13568,16669,3101,0.228552476
34021,40961,53053,12092,0.295207637
34023,19083,24790,5707,0.299061992
34025,40973,52548,11575,0.282503112
34027,37787,50211,12424,0.328790325
34029,17678,22096,4418,0.249915149
34031,9128,12813,3685,0.403702892
34033,1166,1012,-154,-0.132075472
34035,32672,41427,8755,0.267966454
34037,5327,5460,133,0.024967148
34039,25933,34718,8785,0.338757568
34041,7706,10019,2313,0.300155723
35001,64010,80421,16411,0.256381815
35005,1048,1112,64,0.061068702
35009,789,448,-341,-0.432192649
35013,8567,9534,967,0.112874985
35015,1300,1276,-24,-0.018461538
35017,3002,3272,270,0.08994004
35019,1758,1602,-156,-0.088737201
